"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Acoraceae","","N5571",129.917876,"N5571",129.917876,1,1,"Acorus_calamus"
"F","Altingiaceae","","N5574",76.567143,"N5574",76.567143,1,1,"Liquidambar_formosana"
"F","Amborellaceae","","N5568",171.610422,"N5568",171.610422,1,1,"Amborella_trichopoda"
"F","Anthocerotaceae","","N5579",474.895035,"N5579",474.895035,1,1,"Anthoceros_angustus"
"F","Cystodiaceae","","N4273",266.652032,"N4273",266.652032,1,1,"Cystodium_sorbifolium"
"F","Desmophlebiaceae","","N4129",152.565309,"N4129",152.565309,1,1,"Desmophlebium_lechleri"
"F","Funariaceae","","N5580",331.669161,"N5580",331.669161,1,1,"Physcomitrium_patens"
"F","Ginkgoaceae","","N5576",231.831534,"N5576",231.831534,1,1,"Ginkgo_biloba"
"F","Hemidictyaceae","","N4129",152.565309,"N4129",152.565309,1,1,"Hemidictyum_marginatum"
"F","Hydatellaceae","","N5567",191.467207,"N5567",191.467207,1,1,"Trithuria_inconspicua"
"F","Isoetaceae","","N5578",323.750631,"N5578",323.750631,1,1,"Isoetes_piedmontana"
"F","Lycopodiaceae","","N5577",384.0346,"N5577",384.0346,1,1,"Lycopodium_clavatum"
"F","Magnoliaceae","","N5570",133.444435,"N5570",133.444435,1,1,"Magnolia_tripetala"
"F","Marchantiaceae","","N5580",331.669161,"N5580",331.669161,1,1,"Marchantia_polymorpha"
"F","Papaveraceae","","N5572",106.857689,"N5572",106.857689,1,1,"Lamprocapnos_spectabilis"
"F","Plumbaginaceae","","N5575",74.924806,"N5575",74.924806,1,1,"Plumbago_auriculata"
"F","Rosaceae","","N5574",76.567143,"N5574",76.567143,1,1,"Sorbus_torminalis"
"F","Schisandraceae","","N5569",153.009615,"N5569",153.009615,1,1,"Kadsura_longipedunculata"
"F","Sciadopityaceae","","N5576",231.831534,"N5576",231.831534,1,1,"Sciadopitys_verticillata"
"F","Selaginellaceae","","N5578",323.750631,"N5578",323.750631,1,1,"Selaginella_moellendorffii"
"F","Solanaceae","","N5575",74.924806,"N5575",74.924806,1,1,"Nicotiana_tabacum"
"F","Thyrsopteridaceae","","N4452",189.821063,"N4452",189.821063,1,1,"Thyrsopteris_elegans"
"F","Anemiaceae","","N4936",229.365077,"N4937",143.283941,1,79,""
"F","Aspleniaceae","","N3788",166.896585,"N3789",107.504452,2,341,""
"F","Athyriaceae","","N3279",164.409514,"N3280",158.61822,7,309,""
"F","Blechnaceae","","N3588",137.615984,"N3589",105.157438,25,173,""
"F","Cibotiaceae","","N4857",163.153039,"N4858",33.9,1,9,""
"F","Culcitaceae","","N4872",65.931492,"N4873",13.82,1,2,""
"F","Cyatheaceae","","N4454",166.015415,"N4455",101.449314,4,372,""
"F","Cystopteridaceae","","N3017",191.620003,"N4135",84.438424,3,32,""
"F","Davalliaceae","","N876",129.456683,"N1804",46.281612,1,42,""
"F","Dennstaedtiaceae","","N867",263.033521,"N4167",175.24257,11,106,""
"F","Dicksoniaceae","","N4454",166.015415,"N4826",132.397332,3,32,""
"F","Didymochlaenaceae","","N870",183.444565,"N2984",25.347454,1,9,""
"F","Diplaziopsidaceae","","N3787",174.104861,"N4130",33.624352,2,3,""
"F","Dipteridaceae","","N5046",275.403138,"N5047",66.791784,2,5,""
"F","Dryopteridaceae","","N871",179.119296,"N2035",155.468006,24,950,""
"F","Equisetaceae","","N5457",416.961199,"N5547",174.1,1,20,""
"F","Gleicheniaceae","","N5045",327.005168,"N5054",142.309804,7,39,""
"F","Hymenophyllaceae","","N5044",349.029306,"N5092",239.735354,9,267,""
"F","Hypodematiaceae","","N869",186.086164,"N2992",97.285627,2,26,""
"F","Lindsaeaceae","","N4274",254.082832,"N4275",104.88441,7,168,""
"F","Lomariopsidaceae","","N872",166.189073,"N1999",123.385423,3,37,""
"F","Lonchitidaceae","","N4274",254.082832,"N4442",28.618963,1,3,""
"F","Loxsomataceae","","N4871",124.999999,"N4883",27.75178,2,2,""
"F","Lygodiaceae","","N4935",305.561823,"N5027",59.2,1,18,""
"F","Marattiaceae","","N5",412.754154,"N5375",174.1,6,83,""
"F","Marsileaceae","","N4884",256.742531,"N4885",115.531875,3,41,""
"F","Matoniaceae","","N5046",275.403138,"N5051",139.473552,2,4,""
"F","Metaxyaceae","","N4857",163.153039,"N4866",6.724111,1,6,""
"F","Nephrolepidaceae","","N873",162.176656,"N1981",65.077554,1,19,""
"F","Oleandraceae","","N875",134.845393,"N1845",45.824651,1,10,""
"F","Onocleaceae","","N3588",137.615984,"N3761",100.935205,4,5,""
"F","Ophioglossaceae","","N5458",358.927833,"N5459",240.832352,10,81,""
"F","Osmundaceae","","N6",378.304364,"N5358",149.251653,7,18,""
"F","Plagiogyriaceae","","N4872",65.931492,"N4874",35.150621,1,10,""
"F","Polypodiaceae","","N876",129.456683,"N877",120.855617,59,928,""
"F","Psilotaceae","","N5458",358.927833,"N5539",92.601162,2,9,""
"F","Pteridaceae","","N11",267.082111,"N12",219.880768,56,856,""
"F","Rhachidosoraceae","","N3786",181.774094,"N4132",34.608438,1,4,""
"F","Saccolomataceae","","N4272",280.873337,"N4444",25.336702,2,7,""
"F","Salviniaceae","","N4884",256.742531,"N4925",144.549112,2,11,""
"F","Schizaeaceae","","N4936",229.365077,"N5015",114.906,2,13,""
"F","Tectariaceae","","N874",139.44957,"N1854",116.642657,8,128,""
"F","Thelypteridaceae","","N3019",174.976398,"N3020",109.274845,36,259,""
"F","Woodsiaceae","","N868",208.157063,"N3017",191.620003,3,23,""
"G","Acoraceae","Acorus","N5571",129.917876,"N5571",129.917876,1,1,"Acorus_calamus"
"G","Polypodiaceae","Adetogramma","N882",99.102662,"N882",99.102662,1,1,"Adetogramma_chrysolepis"
"G","Amborellaceae","Amborella","N5568",171.610422,"N5568",171.610422,1,1,"Amborella_trichopoda"
"G","Thelypteridaceae","Ampelopteris","N3189",37.400788,"N3189",37.400788,1,1,"Ampelopteris_prolifera"
"G","Pteridaceae","Ananthacorus","N777",58.454011,"N777",58.454011,1,1,"Ananthacorus_angustifolius"
"G","Blechnaceae","Anchistea","N3741",72.1,"N3741",72.1,1,1,"Anchistea_virginica"
"G","Anthocerotaceae","Anthoceros","N5579",474.895035,"N5579",474.895035,1,1,"Anthoceros_angustus"
"G","Pteridaceae","Baja","N612",34.290204,"N612",34.290204,1,1,"Baja_brandegeei"
"G","Blechnaceae","Blechnidium","N3736",38.407655,"N3736",38.407655,1,1,"Blechnidium_melanopus"
"G","Ophioglossaceae","Botrypus","N5463",4.205506,"N5463",4.205506,1,1,"Botrypus_virginianus"
"G","Blechnaceae","Brainea","N3591",80.986032,"N3591",80.986032,1,1,"Brainea_insignis"
"G","Pteridaceae","Calciphilopteris","N287",190.897872,"N287",190.897872,1,1,"Calciphilopteris_ludens"
"G","Pteridaceae","Cheiloplecton","N486",43.294837,"N486",43.294837,1,1,"Cheiloplecton_rigidum"
"G","Ophioglossaceae","Cheiroglossa","N5536",98.089556,"N5536",98.089556,1,1,"Cheiroglossa_palmata"
"G","Thelypteridaceae","Chingia","N3163",29.35232,"N3163",29.35232,1,1,"Chingia_longissima"
"G","Marattiaceae","Christensenia","N5378",70.877336,"N5378",70.877336,1,1,"Christensenia_aesculifolia"
"G","Osmundaceae","Claytosmunda","N5360",103.863224,"N5360",103.863224,1,1,"Claytosmunda_claytoniana"
"G","Blechnaceae","Cleistoblechnum","N3733",64.651666,"N3733",64.651666,1,1,"Cleistoblechnum_eburneum"
"G","Pteridaceae","Cosentinia","N35",47.995078,"N35",47.995078,1,1,"Cosentinia_vellea"
"G","Thelypteridaceae","Cyclosorus","N3188",40.535663,"N3188",40.535663,1,1,"Cyclosorus_interruptus"
"G","Woodsiaceae","Cystocarpium","N4161",1.440707,"N4161",1.440707,1,1,"Cystocarpium_roskamianum"
"G","Cystodiaceae","Cystodium","N4273",266.652032,"N4273",266.652032,1,1,"Cystodium_sorbifolium"
"G","Desmophlebiaceae","Desmophlebium","N4129",152.565309,"N4129",152.565309,1,1,"Desmophlebium_lechleri"
"G","Tectariaceae","Draconopteris","N1866",83.161123,"N1866",83.161123,1,1,"Draconopteris_draconoptera"
"G","Ginkgoaceae","Ginkgo","N5576",231.831534,"N5576",231.831534,1,1,"Ginkgo_biloba"
"G","Gleicheniaceae","Gleichenella","N5066",48.37697,"N5066",48.37697,1,1,"Gleichenella_pectinata"
"G","Polypodiaceae","Gymnogrammitis","N1507",26.493524,"N1507",26.493524,1,1,"Gymnogrammitis_dareiformis"
"G","Pteridaceae","Hecistopteris","N840",62.337458,"N840",62.337458,1,1,"Hecistopteris_pumila"
"G","Ophioglossaceae","Helminthostachys","N5461",196.875083,"N5461",196.875083,1,1,"Helminthostachys_zeylanica"
"G","Hemidictyaceae","Hemidictyum","N4129",152.565309,"N4129",152.565309,1,1,"Hemidictyum_marginatum"
"G","Diplaziopsidaceae","Homalosorus","N4130",33.624353,"N4130",33.624353,1,1,"Homalosorus_pycnocarpos"
"G","Blechnaceae","Icarus","N3599",51.66471,"N3599",51.66471,1,1,"Icarus_filiformis"
"G","Isoetaceae","Isoetes","N5578",323.750631,"N5578",323.750631,1,1,"Isoetes_piedmontana"
"G","Schisandraceae","Kadsura","N5569",153.009615,"N5569",153.009615,1,1,"Kadsura_longipedunculata"
"G","Papaveraceae","Lamprocapnos","N5572",106.857689,"N5572",106.857689,1,1,"Lamprocapnos_spectabilis"
"G","Polypodiaceae","Lemmaphyllum","N1597",6.960652,"N1597",6.960652,1,1,"Lemmaphyllum_microphyllum"
"G","Dennstaedtiaceae","Leptolepia","N4232",29.527212,"N4232",29.527212,1,1,"Leptolepia_novae-zelandiae"
"G","Lindsaeaceae","Lindsaeosoria","N4288",23.930422,"N4288",23.930422,1,1,"Lindsaeosoria_flynnii"
"G","Altingiaceae","Liquidambar","N5574",76.567143,"N5574",76.567143,1,1,"Liquidambar_formosana"
"G","Pteridaceae","Llavea","N851",110.825676,"N851",110.825676,1,1,"Llavea_cordifolia"
"G","Blechnaceae","Lorinseria","N3740",80.266511,"N3740",80.266511,1,1,"Lorinseria_areolata"
"G","Loxsomataceae","Loxsoma","N4883",27.75178,"N4883",27.75178,1,1,"Loxsoma_cunninghamii"
"G","Loxsomataceae","Loxsomopsis","N4883",27.75178,"N4883",27.75178,1,1,"Loxsomopsis_pearcei"
"G","Lycopodiaceae","Lycopodium","N5577",384.0346,"N5577",384.0346,1,1,"Lycopodium_clavatum"
"G","Magnoliaceae","Magnolia","N5570",133.444435,"N5570",133.444435,1,1,"Magnolia_tripetala"
"G","Tectariaceae","Malaifilix","N1867",77.754469,"N1867",77.754469,1,1,"Malaifilix_grandidentata"
"G","Ophioglossaceae","Mankyua","N5459",240.832353,"N5459",240.832353,1,1,"Mankyua_chejuense"
"G","Marchantiaceae","Marchantia","N5580",331.669161,"N5580",331.669161,1,1,"Marchantia_polymorpha"
"G","Onocleaceae","Matteuccia","N3763",50.547016,"N3763",50.547016,1,1,"Matteuccia_struthiopteris"
"G","Dryopteridaceae","Maxonia","N2586",34.473174,"N2586",34.473174,1,1,"Maxonia_apiifolia"
"G","Thelypteridaceae","Mesophlebion","N3189",37.400788,"N3189",37.400788,1,1,"Mesophlebion_crassifolium"
"G","Thelypteridaceae","Mesopteris","N3109",29.270126,"N3109",29.270126,1,1,"Mesopteris_tonkinensis"
"G","Pteridaceae","Mickelopteris","N374",3.106781,"N374",3.106781,1,1,"Mickelopteris_cordata"
"G","Blechnaceae","Neoblechnum","N3647",10.023517,"N3647",10.023517,1,1,"Neoblechnum_brasiliense"
"G","Solanaceae","Nicotiana","N5575",74.924806,"N5575",74.924806,1,1,"Nicotiana_tabacum"
"G","Dennstaedtiaceae","Oenotrichia","N4232",29.527212,"N4232",29.527212,1,1,"Oenotrichia_maxima"
"G","Onocleaceae","Onoclea","N3762",68.630102,"N3762",68.630102,1,1,"Onoclea_sensibilis"
"G","Onocleaceae","Onocleopsis","N3763",50.547016,"N3763",50.547016,1,1,"Onocleopsis_hintonii"
"G","Osmundaceae","Osmunasium","N5367",3.536136,"N5367",3.536136,1,1,"Osmunasium_mildei"
"G","Osmundaceae","Osmundastrum","N5358",149.251653,"N5358",149.251653,1,1,"Osmundastrum_cinnamomeum"
"G","Thelypteridaceae","Pakau","N3104",38.339797,"N3104",38.339797,1,1,"Pakau_pennigera"
"G","Pteridaceae","Parahemionitis","N374",3.106781,"N374",3.106781,1,1,"Parahemionitis_arifolia"
"G","Polypodiaceae","Parrisia","N887",60.406193,"N887",60.406193,1,1,"Parrisia_parietina"
"G","Funariaceae","Physcomitrium","N5580",331.669161,"N5580",331.669161,1,1,"Physcomitrium_patens"
"G","Polypodiaceae","Pleurosoriopsis","N1437",55.180275,"N1437",55.180275,1,1,"Pleurosoriopsis_makinoi"
"G","Plumbaginaceae","Plumbago","N5575",74.924806,"N5575",74.924806,1,1,"Plumbago_auriculata"
"G","Athyriaceae","Pseudathyrium","N3374",31.220404,"N3374",31.220404,1,1,"Pseudathyrium_alpestre"
"G","Marsileaceae","Regnellidium","N4889",104.677355,"N4889",104.677355,1,1,"Regnellidium_diphyllum"
"G","Pteridaceae","Rheopteris","N847",113.47491,"N847",113.47491,1,1,"Rheopteris_cheesmaniae"
"G","Gleicheniaceae","Rouxopteris","N5072",140.649329,"N5072",140.649329,1,1,"Rouxopteris_boryi"
"G","Ophioglossaceae","Sahashia","N5463",4.205506,"N5463",4.205506,1,1,"Sahashia_stricta"
"G","Sciadopityaceae","Sciadopitys","N5576",231.831534,"N5576",231.831534,1,1,"Sciadopitys_verticillata"
"G","Pteridaceae","Scoliosorus","N777",58.454011,"N777",58.454011,1,1,"Scoliosorus_ensiformis"
"G","Selaginellaceae","Selaginella","N5578",323.750631,"N5578",323.750631,1,1,"Selaginella_moellendorffii"
"G","Rosaceae","Sorbus","N5574",76.567143,"N5574",76.567143,1,1,"Sorbus_torminalis"
"G","Lindsaeaceae","Sphenomeris","N4424",102.044303,"N4424",102.044303,1,1,"Sphenomeris_clavata"
"G","Gleicheniaceae","Stromatopteris","N5087",100.5,"N5087",100.5,1,1,"Stromatopteris_moniliformis"
"G","Pteridaceae","Syngramma","N84",22.958607,"N84",22.958607,1,1,"Syngramma_quinata"
"G","Polypodiaceae","Thylacopteris","N1551",88.017593,"N1551",88.017593,1,1,"Thylacopteris_papillosa"
"G","Thyrsopteridaceae","Thyrsopteris","N4452",189.821063,"N4452",189.821063,1,1,"Thyrsopteris_elegans"
"G","Pteridaceae","Trachypteris","N297",48.138099,"N297",48.138099,1,1,"Trachypteris_pinnata"
"G","Dryopteridaceae","Trichoneuron","N2626",44.865187,"N2626",44.865187,1,1,"Trichoneuron_microlepioides"
"G","Thelypteridaceae","Trigonospora","N3143",18.791958,"N3143",18.791958,1,1,"Trigonospora_tenera"
"G","Hydatellaceae","Trithuria","N5567",191.467207,"N5567",191.467207,1,1,"Trithuria_inconspicua"
"G","Thelypteridaceae","Abacopteris","N3107",31.9664280000001,"N3108",30.674844,1,3,""
"G","Hymenophyllaceae","Abrodictyum","N5181",180.631996,"N5220",108.841858,1,18,""
"G","Pteridaceae","Acrostichum","N14",141.027732,"N15",66.036193,1,3,""
"G","Pteridaceae","Actiniopteris","N23",69.470904,"N24",18.596679,1,4,""
"G","Schizaeaceae","Actinostachys","N5015",114.906001,"N5016",63.712356,1,5,""
"G","Cystopteridaceae","Acystopteris","N4136",53.066504,"N4156",11.01484,1,3,""
"G","Polypodiaceae","Adenophorus","N887",60.406191,"N888",32.551081,1,10,""
"G","Pteridaceae","Adiantopsis","N297",48.138099,"N298",42.39612,1,27,""
"G","Pteridaceae","Adiantum","N616",185.506742,"N617",164.87022,1,156,""
"G","Polypodiaceae","Alansmia","N1224",65.74022,"N1225",24.710471,1,8,""
"G","Pteridaceae","Aleuritopteris","N418",51.865397,"N419",46.210226,1,22,""
"G","Cyatheaceae","Alsophila","N4454",166.015415,"N4455",101.449314,1,162,""
"G","Thelypteridaceae","Amauropelta","N3024",66.240514,"N3025",52.202601,1,54,""
"G","Thelypteridaceae","Amblovenatum","N3114",21.1080270000001,"N3115",13.297902,1,2,""
"G","Anemiaceae","Anemia","N4936",229.365077,"N4937",143.283941,1,79,""
"G","Marattiaceae","Angiopteris","N5377",76.0122250000001,"N5382",50.164801,1,25,""
"G","Athyriaceae","Anisocampium","N3283",137.044189,"N3284",32.003119,1,4,""
"G","Pteridaceae","Anogramma","N35",47.995076,"N36",30.612265,1,2,""
"G","Pteridaceae","Antrophyopsis","N787",92.074528,"N788",74.621687,1,4,""
"G","Pteridaceae","Antrophyum","N787",92.074528,"N791",45.389931,1,20,""
"G","Dryopteridaceae","Arachniodes","N2039",85.221014,"N2040",58.884953,1,47,""
"G","Polypodiaceae","Archigrammitis","N964",61.216086,"N965",59.440786,1,4,""
"G","Pteridaceae","Argyrochosma","N514",55.921308,"N515",38.978617,1,19,""
"G","Dryopteridaceae","Arthrobotrya","N2652",88.048238,"N2653",72.358681,1,3,""
"G","Tectariaceae","Arthropteris","N1854",116.642655,"N1855",48.582688,1,11,""
"G","Polypodiaceae","Ascogrammitis","N1124",65.818497,"N1125",40.71256,1,14,""
"G","Pteridaceae","Aspidotis","N292",64.60993,"N293",59.632723,1,4,""
"G","Aspleniaceae","Asplenium","N3789",107.50445,"N3790",84.586094,1,307,""
"G","Pteridaceae","Astrolepis","N534",40.513054,"N535",34.002828,1,8,""
"G","Athyriaceae","Athyrium","N3287",129.399999,"N3288",35.168869,1,87,""
"G","Blechnaceae","Austroblechnum","N3600",48.6796340000001,"N3617",37.833709,1,20,""
"G","Pteridaceae","Austrogramme","N84",22.958605,"N85",8.467031,1,2,""
"G","Salviniaceae","Azolla","N4925",144.549112,"N4926",77.696374,1,6,""
"G","Blechnaceae","Blechnopsis","N3733",64.651664,"N3734",28.403436,1,2,""
"G","Blechnaceae","Blechnum","N3600",48.6796340000001,"N3601",36.903458,1,17,""
"G","Dennstaedtiaceae","Blotiella","N4173",60.128683,"N4174",18.797923,1,5,""
"G","Dryopteridaceae","Bolbitis","N2651",92.258865,"N2881",74.472177,1,32,""
"G","Pteridaceae","Bommeria","N288",128.349896,"N611",50.51405,1,5,""
"G","Polypodiaceae","Bosmania","N1554",67.008701,"N1575",20.547038,1,2,""
"G","Ophioglossaceae","Botrychium","N5465",43.770506,"N5466",20.103381,1,32,""
"G","Hymenophyllaceae","Callistopteris","N5178",162.286956,"N5179",26.475486,1,2,""
"G","Dicksoniaceae","Calochlaena","N4826",132.39733,"N4827",40.250975,1,5,""
"G","Polypodiaceae","Calymmodon","N962",63.8182190000001,"N963",63.307514,1,10,""
"G","Polypodiaceae","Campyloneurum","N1269",76.755582,"N1270",68.417192,1,48,""
"G","Hymenophyllaceae","Cephalomanes","N5178",162.286956,"N5180",35.644433,1,2,""
"G","Polypodiaceae","Ceradenia","N924",57.573469,"N925",45.708205,1,21,""
"G","Pteridaceae","Ceratopteris","N14",141.027732,"N17",1.628574,1,5,""
"G","Pteridaceae","Cerosora","N33",121.840917,"N34",105.090434,1,2,""
"G","Pteridaceae","Cheilanthes","N288",128.349896,"N289",109.617034,1,47,""
